query_id,customer_text,source_timestamp,source_split,gold_intent,intent_annotation_method,expected_resolution,resolution_source,resolution_confidence,gold_retrieval_relevance,gold_auto_handle_decision,decision_reason,difficulty,annotation_source,human_reviewed
app_issue_000,"my messages app keeps crashing, wtf @115858",,validation,app_issue,candidate_label,"@667030 Thank you for reaching out to us. We're here to help. To start, what device model and software version are you using?",historical_response,0.85,,,,easy,automated,False
app_issue_001,"@AppleSupport I have tried both connected to the WiFi and not. Attempting via iMessage it does not even load, and via the actual photos app is when I get the error message.",,validation,app_issue,candidate_label,@668656 We'd like to look into this further. Please DM us to continue working on this. https://t.co/GDrqU22YpT,historical_response,0.85,,,,easy,automated,False
app_issue_002,I️ have to write my text messages on my notes and copy and paste it to send it because the Messages app keeps crashing wtfffff @115858,,validation,app_issue,candidate_label,@728189 We'd like to help find the best solution. What iOS version are you currently on?,historical_response,0.85,,,,easy,automated,False
app_issue_003,"iOS 11.1.1 is absolute garbage! Phone (7plus) kept crashing when i tried to open messages &amp; had to do master reset, now it is running soooo slow.  @AppleSupport",,validation,app_issue,candidate_label,"@689909 Let's look into what's going on together. So we can work closer with you on this, reach out to us in DM and we'll continue from there. https://t.co/GDrqU22YpT",historical_response,0.85,,,,easy,automated,False
app_issue_004,"@AppleSupport Haven’t seen error messages yet but my phone does show some serious lag while doing basic tasks like swiping up the Twitter feed! Also, the device unexpectedly reboots and the display freezes a lot of times!",,validation,app_issue,candidate_label,@760176 We'd like to look into this further with you. DM us and we'll help there. https://t.co/GDrqU2kzhr,historical_response,0.85,,,,easy,automated,False
app_issue_005,@AppleSupport Hey Apple do you realize my gmail app crashes every 2 seconds on my new iPhone X?,,validation,app_issue,candidate_label,@772036 We're here for you! Please DM us and we'll have a look. https://t.co/GDrqU22YpT,historical_response,0.85,,,,easy,automated,False
app_issue_006,@AppleSupport The beautiful #iOS11 App Store... all jumbled up on an #iPhone7. #iOS11Fail #AppleFail #MoreProblems: can’t get Live photos to ever turn off. And now my ear constantly hits the numbers during a call triggering a tone. On 11.1.1 #annoyed https://t.co/7gnH138Q4K,,validation,app_issue,candidate_label,@739274 Let's work together to resolve these issues. We ask that you back up your iPhone and update to iOS version 11.1.2: https://t.co/80YRnjDFDk DM us if the issues continue or if you have questions,historical_response,0.85,,,,medium,automated,False
app_issue_007,Thanks iOS 11. I zoomed in an emails &amp; it went blank. Nothing. Not even quitting will bring it back. @AppleSupport #fail https://t.co/FshCA14tzZ,,validation,app_issue,candidate_label,@280871 Let's take a look at this together. Which device and iOS version are you on? Shoot us a DM: https://t.co/GDrqU22YpT,historical_response,0.85,,,,medium,automated,False
app_issue_008,@AppleSupport With the new update my phone goes from 100% battery to 10% just by opening one app like IG or Snapchat or Gmail. Then it routinely crashes and restarts. Very annoying. Pls fix.,,validation,app_issue,candidate_label,@616095 We'd love to help with any issues you're experiencing. Please let us know which iPhone and the exact version of iOS 11 that you're using.,historical_response,0.85,,,,easy,automated,False
app_issue_009,Can someone please tell me how to put my #iPhone photos BACK in chronological order? #ios11update #fail @AppleSupport,,validation,app_issue,candidate_label,"@381612 Great question! We have a team that can help with your concerns with the Photos app. You can reach them using this link: https://t.co/IBIY3vMgPj

DM us if you have any further questions. https",historical_response,0.85,,,,easy,automated,False
app_issue_010,"@115858 @AppleSupport since updating my Mac, photoshop constantly crashes, any idea why?",,validation,app_issue,candidate_label,"@617978 Thanks for reaching out!  If that issue occurs only with one single application, we would advise checking for a missing compatibility update from the manufacturer.  You may also want to try un",historical_response,0.85,,,,easy,automated,False
app_issue_011,"@AppleSupport PC and I’m attempting to back it up and sync like I usually do once a week. No error messages, when I plug in the cable it asks for permission to access photos but that’s it. It doesn’t begin to automatically sync like it used to.",,validation,app_issue,candidate_label,"@666996 Thanks for that info. What type of content are you specifically attempting to sync to the device? Also, was the backup of your device successful?",historical_response,0.85,,,,easy,automated,False
app_issue_012,"@115858 @AppleSupport please.... iMessage keeps crashing and deleting my longer messages before I️ can even send it.
I️ have to select and copy all my messages before I️ send them, in case it crashes.. I️ often forget",,validation,app_issue,candidate_label,"@739277 We'd love to assist with your Message app today. Let us know which device and OS version you are using. Also, are you experiencing this behavior where the app suddenly force quits with any oth",historical_response,0.85,,,,easy,automated,False
app_issue_013,iOS Safari doesn't block auto playing videos if my phone is connected to Apple TV #fail @AppleSupport,,validation,app_issue,candidate_label,@718861 We want to check into this further. Let's have our Apple TV team investigate. Let's meet up here: https://t.co/IBIY3vMgPj,historical_response,0.85,,,,medium,automated,False
app_issue_014,@AppleSupport two Macs now #MacMailCrashing under #highsierra - 12x daily - containers dirs Xed - safe mode - #imissstevejobs,,validation,app_issue,candidate_label,@678371 We want you to be able to rely on your important messages. Please send us a DM so we may better assist you. https://t.co/GDrqU22YpT,historical_response,0.85,,,,easy,automated,False
app_issue_015,"Thank you, @AppleSupport @115858 for helping me fail my class by this awful email :)) https://t.co/2U140E1VSK",,validation,app_issue,candidate_label,"@691728 An update has been released to resolve this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/4f8hwT5to6",historical_response,0.85,,,,medium,automated,False
app_issue_016,@AppleSupport just got my iPhone X. Messages crashes every time I open it. No solution to be found. HALP!,,validation,app_issue,candidate_label,"@670875 We want your Messages app working flawlessly on your new device. Send us a DM with your current iOS version, and we’ll take a closer look at this with you there. https://t.co/GDrqU22YpT",historical_response,0.85,,,,easy,automated,False
app_issue_017,.@115858 why are my messages sending as a text SIX times but also telling me “message failed to send”. This is not okay and your products suck after a new one comes out. That’s not acceptable.,,validation,app_issue,candidate_label,"@433157 We'll help get your Messages on track. Send us a DM with the device and iOS version we're working with today, and we'll get started. https://t.co/GDrqU22YpT",historical_response,0.85,,,,medium,automated,False
app_issue_018,"@115858 @AppleSupport my #HaloGames from @115890 #HaloSA and #HaloSS are crashing. Latest iOS updates and iPhone 7 restarts did not help. 

These games are no longer on the app store. 

What do I do? https://t.co/r727jxvNjb",,validation,app_issue,candidate_label,"@596269 Reach out to us via DM, then we can advise you on this from there. https://t.co/GDrqU22YpT",historical_response,0.85,,,,easy,automated,False
app_issue_019,"My phone is still practically new. It should not be having these issues. Crashing when typing long messages.. the stupid letter i.. not okay, @115858, not okay...",,validation,app_issue,candidate_label,@693016 We're here to help. Please meet us in DM and we'll take a look at these matters together. https://t.co/GDrqU22YpT,historical_response,0.85,,,,easy,automated,False
app_issue_020,@AppleSupport Everytime I open my iMessages it freezes and automatically crashes so I can’t really see any of my messages.,,validation,app_issue,candidate_label,@717313 We want to help. What device and software version are you using? Have you tried restarting the device that this issue is occurring with?,historical_response,0.85,,,,easy,automated,False
app_issue_021,yo @115858 maps has failed me for the last time smh I'm done,,validation,app_issue,candidate_label,@771043 We can understand needing your maps to be reliable! What kind of issues are you having with the Maps app? We'd be happy to help you with them.,historical_response,0.85,,,,medium,automated,False
app_issue_022,@AppleSupport I was able to log in. Now my apps are crashing/ not importing photos.,,validation,app_issue,candidate_label,@264984 Have you backed up or been backing up your Mac with Time Machine or another backup system? Let us know in DM. https://t.co/GDrqU22YpT,historical_response,0.85,,,,easy,automated,False
app_issue_023,"IPhone 6s upgraded with latest iOS11, doesn’t let me open messages and most app still crash often, any suggestion @AppleSupport ? This is really annoying...",,validation,app_issue,candidate_label,@775354 Are you getting an error message or does your Messages app simply crash? Let us know in a DM and we'll get this sorted out. https://t.co/GDrqU22YpT,historical_response,0.85,,,,easy,automated,False
app_issue_024,"Does anyone else experience issues with the message app crashing when you’re typing, and I️t just erases your entire message? It’s really frustrating when you’re having a discussion and your messages repeatedly get wiped. Is this even on the radar? @AppleSupport",,validation,app_issue,candidate_label,@806495 We'd like to dig in to this in greater detail to figure out the best way to help. What type of device are you using and which OS version is currently installed? Let us know the answers via DM ,historical_response,0.85,,,,easy,automated,False
device_hardware_issue_000,@115858 I need a new phone i paid too much money for my phone to be doing all this after a update my headphones definitely work and when I stick it in it’s still playing on the speaker like 🤔 keeps jumping screen to screen this too much,,validation,device_hardware_issue,candidate_label,@768070 Let's look into this for you. Can you send us a Screen recording in DM of your screen jumping around? This page should help: https://t.co/4LuYBB7Kns https://t.co/GDrqU22YpT,historical_response,0.85,,,,medium,automated,False
device_hardware_issue_001,"@AppleSupport Absolutely nothing happens, just stays in place and I must force close the screen.",,validation,device_hardware_issue,candidate_label,@718417 Got it. Please DM us and we will continue from there. https://t.co/GDrqU22YpT,historical_response,0.85,,,,medium,automated,False
device_hardware_issue_002,@115858 ever thought about making a stronger screen. Fallen out my pocket from less than a foot high with a glass screen protector and the actual screen underneath smashed #shit #iPhone #absaloutejoke,,validation,device_hardware_issue,candidate_label,"@699463 We hate to hear there is damage to your iPhone's display, but if you're needing assistance we'd be happy to help you explore all the options available to you. To do so, go ahead and DM us your",historical_response,0.85,,,,medium,automated,False
device_hardware_issue_003,@AppleSupport Even to the bottom right corner when I have no other apps on the screen...,,validation,device_hardware_issue,candidate_label,"@772049 We welcome all suggestions, and you can leave your feedback to our dedicated site here: https://t.co/oWzjJxkvlC",historical_response,0.85,,,,medium,automated,False
device_hardware_issue_004,@AppleSupport iPhone 7plus. Right after I completed my payment for my Apple Music....my music app WONT open. The screen would turn blank and just go back to the homepage.,,validation,device_hardware_issue,candidate_label,"@586202 Have you restarted the Music app, and your iPhone since this began? This link helps with how to quit the app: https://t.co/RqqIctrDWV If so, which version of iOS are you running in Settings &g",historical_response,0.85,,,,medium,automated,False
device_hardware_issue_005,@AppleSupport My iPhone 7Plus does not support Apple Pay at any merchants. It either doesn’t reads it or they get a processing message on their screen.,,validation,device_hardware_issue,candidate_label,@266439 Thanks for reaching out and providing that information. We know how important it is to have Apple Pay working as expected for on-the-go convenience. Let's look into this together. Can you prov,historical_response,0.85,,,,medium,automated,False
device_hardware_issue_006,@AppleSupport love the new iPhone X but I’m over my screen randomly not responding. It’s awful. When is the fix coming?! ☹️ #iPhoneX #apple #screen #nyc #update,,validation,device_hardware_issue,candidate_label,"@167374 We want you to be able to fully enjoy your new iPhone, so we’ll be happy to help. To start, can you tell us the iOS version it’s currently on? This info can be found in Settings &gt; General &",historical_response,0.85,,,,medium,automated,False
device_hardware_issue_007,"@115858 so I updated my phone two days ago and since then it’s been freezing, turning off randomly, has a dark screen but the home button still works, and my pod casts can’t play for more then 15 minutes without turning off. You guys fucking suck",,validation,device_hardware_issue,candidate_label,@696590 We'd like to look into this with you and get your iPhone working properly once again. Does restarting seem to help at all?,historical_response,0.85,,,,medium,automated,False
device_hardware_issue_008,"@AppleSupport my iphone 8 keeps freezing on the home screen thinking im pressing the message icon, every time i have to reset it Any ideas? https://t.co/bkFVYrPmJ5",,validation,device_hardware_issue,candidate_label,@669071 Thanks for reaching out. Does this happen only when on calls? Which iOS version are you currently running? Send us those answers via DM. https://t.co/GDrqU2kzhr,historical_response,0.85,,,,medium,automated,False
device_hardware_issue_009,This #bluescreenofdeath on the @115858 #MacBookPro is starting to really piss me off! https://t.co/kcmHDK5XNl,,validation,device_hardware_issue,candidate_label,@775689 We're here for you. Click here to meet us in DM and provide us with the software version that is currently running on your computer. We'll take it from there: https://t.co/GDrqU22YpT,historical_response,0.85,,,,medium,automated,False
device_hardware_issue_010,@AppleSupport my screen keeps going black it’s the iPhone 7 help me now. 🙃,,validation,device_hardware_issue,candidate_label,@734406 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. https://t.co/GDrqU22YpT,historical_response,0.85,,,,medium,automated,False
device_hardware_issue_011,"Dear @AppleSupport! In iMovie for iOS, when I bring in a screen recording I made on my iOS-11-iPhone in portrait mode, it‘s either clipped top &amp; bottom or, when zoomed out, always centered (&amp; small) in a 16:9 final video. The original format can‘t be worked with? :-(((",,validation,device_hardware_issue,candidate_label,@670638 Our iMovie support team would be happy to look into this with you!  Please reach out to them here:  https://t.co/IBIY3vMgPj,historical_response,0.85,,,,medium,automated,False
device_hardware_issue_012,My #Mac is broken AGAIN 🤬🤬🤬 not one good experience with this machine!!! @AppleSupport,,validation,device_hardware_issue,candidate_label,@683054 Tell us more about the issue you're experiencing with the Mac via DM. We'd like to help if we can. https://t.co/GDrqU22YpT,historical_response,0.85,,,,medium,automated,False
device_hardware_issue_013,"@AppleSupport I’m in Australia and I’m calling the U.S. the phone rings, I see a “connecting” message, then a black screen.",,validation,device_hardware_issue,candidate_label,"@781040 Got it. Which device are you currently using to FaceTime? Also, what software version is that device running?",historical_response,0.85,,,,medium,automated,False
device_hardware_issue_014,@AppleSupport Horrifically terrible customer svc. Issues unresolved and I can't get back the time @115858 has wasted. I have been ur loyal customer 4 many years &amp; was just shuffled around multiple times. Please compensate the hours I've wasted on the broken devices u've sold me.,,validation,device_hardware_issue,candidate_label,"@347920 We want to make sure you get the help you need. What device or product are you having problems with today, what software is it using, and what is the nature of the issue you sought help for?",historical_response,0.85,,,,medium,automated,False
device_hardware_issue_015,"@AppleSupport iPhone X, on the lock screen, camera and flashlight buttons are green and I can’t use them. Searched but cant fix it. Any help?",,validation,device_hardware_issue,candidate_label,@728184 Congratulations on your new iPhone X! We know how important it is to have your new device working as expected. Let's work together in DM here: https://t.co/GDrqU22YpT,historical_response,0.85,,,,medium,automated,False
device_hardware_issue_016,@AppleSupport iOS 11.1.1 cause touch problem. It didnt response the right place where I touched the screen. My 6s is very low efficiency now.,,validation,device_hardware_issue,candidate_label,@668125 We know how important it is to have full use of your iPhone. Let's take a closer look at this together. Does this happen with specific apps or screens? DM us more info and we'll go from there.,historical_response,0.85,,,,medium,automated,False
device_hardware_issue_017,"@AppleSupport Up to date. Just new ones across most apps, looks fine on lock screen but when I unlock it goes to that. Believe the missing letter is “i” https://t.co/isomXhl7zR",,validation,device_hardware_issue,candidate_label,@716713 Understood. Let's get to DM for this. https://t.co/GDrqU22YpT,historical_response,0.85,,,,medium,automated,False
device_hardware_issue_018,@AppleSupport this isn’t normal.......it happens every time I️ go into full screen https://t.co/d2V1gFhbrJ,,validation,device_hardware_issue,candidate_label,@245894 Let us help you get this resolved. Join us in DM so we can better assist you: https://t.co/GDrqU22YpT,historical_response,0.85,,,,medium,automated,False
device_hardware_issue_019,"@AppleSupport WHY does my phone randomly black screen w/ the spinning wheel, then closes all my apps??? This the 4th time this has happened and I have the latest software 😡",,validation,device_hardware_issue,candidate_label,@623563 We can help! Tell us please which iPhone you're using in DM: https://t.co/GDrqU22YpT,historical_response,0.85,,,,medium,automated,False
device_hardware_issue_020,How do you screen shot on the x ? 🤨 @115858 help thanks,,validation,device_hardware_issue,candidate_label,@775664 That's a great question.  Here's a link to check out for help with screenshots: https://t.co/iQkc2ZuaLN,historical_response,0.85,,,,medium,automated,False
device_hardware_issue_021,"dear @115858 can you please unfuck the current *i️ , i , I️ I situation... #brokeni #cmonnowwiththis",,validation,device_hardware_issue,candidate_label,"@672710 We recently released an iOS update, 11.1.1, that contains a fix for autocorrect issues. Let’s be sure to back up your device prior to updating. How to back up: https://t.co/4f8hwT5to6",historical_response,0.85,,,,medium,automated,False
device_hardware_issue_022,iphone x people - does anyone else’s screen not fit their phone?! look at the top and when i try and tweet it cuts my writing off... not a fan can u tell https://t.co/jGV2Vw84eu,,validation,device_hardware_issue,candidate_label,@208987 We'd love to help you with this. Can you DM us with the iOS version you're using? Is this only happening on the Twitter app or other apps as well? https://t.co/GDrqU22YpT,historical_response,0.85,,,,medium,automated,False
device_hardware_issue_023,"Jesus Christ, @AppleSupport, 80 springboard soft crashes? I’m not jailbroken on my iPhone. I’m pinning this on iOS 11 1.1.1 and its shitty way of managing its RAM. Please fix it. It’s spanned from iPhone 7 Plus to my X https://t.co/NvFtGxGvtn",,validation,device_hardware_issue,candidate_label,"@461409 Let's look into this together. Send us a DM with more information, and we'll continue from there. https://t.co/GDrqU22YpT",historical_response,0.85,,,,medium,automated,False
device_hardware_issue_024,"@AppleSupport It doesn’t happen in an app, only when I am on the home screen/swiping through the pages on the home screen to find an app. I have iOS 11.1.2 installed.",,validation,device_hardware_issue,candidate_label,"@753654 Does a restart of the iPhone change the behavior, even if temporarily? Please DM us. https://t.co/GDrqU22YpT",historical_response,0.85,,,,medium,automated,False
performance_issue_000,I need answers!!! @115858 this update has turned my phone into an iPhone 1. Lags. Glitches. Shortcut window doesn’t work. Battery drains quicker. Should I go on? 😤😤😤 https://t.co/YjzL7afa3t,,validation,performance_issue,candidate_label,"@820837 We can absolutely help to get this resolved. Reach out to us in DM and let us know which iPhone you have &amp; what version of iOS is currently installed. Also, tell us a little more about wha",historical_response,0.85,,,,medium,automated,False
performance_issue_001,Hey @AppleSupport live photos are entertaining on my iPhone but I don't want all those 2-second .mov files cluttering up my iCloud Photos downloads folder on my PC. How do I turn off backup of live photo video content?,,validation,performance_issue,candidate_label,"@413869 There is not a way to disable them only in backups, but you can follow these steps to turn Live Photos completely off: https://t.co/C3E4kiTqdx 
DM us if you have further questions! We'd be gla",historical_response,0.85,,,,medium,automated,False
performance_issue_002,All I want for Christmas is for @115858 @AppleSupport to fix this battery drainage 🙄🤬!!!,,validation,performance_issue,candidate_label,"@348423 We'd be happy to continue troubleshooting this with you; please rejoin us in DM at the following link and we'll ask a few questions to get back up to date, before we make further suggestions. ",historical_response,0.85,,,,medium,automated,False
performance_issue_003,@AppleSupport No errors. Spotlight search just shows no results. See attached photo. iOS version is 11.1.2. https://t.co/jkmw3uNMFE,,validation,performance_issue,candidate_label,@775671 Alright. Let's make sure your Siri &amp; Search settings are enabled. For guidance: https://t.co/xnlrIo00sJ,historical_response,0.85,,,,medium,automated,False
performance_issue_004,"@AppleSupport iPhone 6 doesn't hold the hardware capability of running the new ios software, it'll just slow it down further which isn't surprising. By your logic, ""you'll need to update the ios.After that, still slow? Ah should upgrade your device"".No thanks Mr.steal yo money.",,validation,performance_issue,candidate_label,@707811 Our latest update includes a fix for Siri. You can read more about our updates and what they each include: https://t.co/iwrxY4BcIv,historical_response,0.85,,,,medium,automated,False
performance_issue_005,"iOS 11.1.1 messed up my phone, it keeps lagging and restarting 😤😤 @115858 @AppleSupport help!!!",,validation,performance_issue,candidate_label,"@725654 We'd like to look into what's causing the lagging and restarting that you're seeing. To start, can you tell us a bit more about when and where you're seeing the lagging and restarts happen? Co",historical_response,0.85,,,,medium,automated,False
performance_issue_006,@115858 get your shit together. The new update is a nightmare. My phone is only 3 months old and already freezing and slow,,validation,performance_issue,candidate_label,@716734 We'd like to help. Let us know which iPhone you're using and the exact version of iOS installed via DM. We'll go from there. https://t.co/GDrqU22YpT,historical_response,0.85,,,,medium,automated,False
performance_issue_007,@AppleSupport I updated to the new software update and it’s made my phone SO slow and lagging. What can I do to fix this?,,validation,performance_issue,candidate_label,@204160 We'd love to look into this further with you to see what we can do to speed it back up. Which iOS version do you show in Settings &gt; General &gt; About &gt; Version? Does a restart help? Doe,historical_response,0.85,,,,medium,automated,False
performance_issue_008,@AppleSupport I'm downloading a video from https://t.co/ZhkUlTDVPp I shot yesterday and it's projecting 4 hours to download it. I was anticipating maybe 10 minutes for the 5Gb file. Any way I can speed it up? It's no longer local on my iPhone.,,validation,performance_issue,candidate_label,"@758730 Hello! Thank you for reaching out for support. That's a great question. To help us isolate this behavior, could you DM us which Apple device you're using? https://t.co/GDrqU22YpT",historical_response,0.85,,,,medium,automated,False
performance_issue_009,@AppleSupport We are both on iOS devices and both have allowed photos to be taken,,validation,performance_issue,candidate_label,"@672691 OK, perfect! Is this happening with only one contact or does it happen with all contacts?",historical_response,0.85,,,,medium,automated,False
